complaint,department
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. It is worse with the upcoming festival season.",Other
"the crossing light remains red for too long, causing frustrated drivers to break the rules constantly. it is worse during heavy rains yesterday.",Traffic Signals
I want to report that Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens
The gutters are completely clogged with plastic and garbage near the central bus stop. This is happening in the residential block C.,Sewage & Drainage
Highly frustrated with the current state. We need regular trimming of the large tree branches overhanging the pathway inside the park. Hoping for a quick response.,Parks & Gardens
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. This is happening near the local children's park.",Parks & Gardens
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. It is worse with the upcoming festival season.,Sewage & Drainage
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. Please update on the status of this complaint.",Parks & Gardens
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. It is worse during heavy rains yesterday.",Roads & Potholes
"The valve man is not opening the gates properly, some houses get full force while we get nothing. Needs fix near Green Valley Apartments.",Water Supply
The entire street is littered with plastic bags after the weekend festival celebration. Please take immediate action.,Garbage Collection
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! This is happening near the metro station gate.,Street Lighting
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening near the public library.",Water Supply
Kindly look into this issue: No supply for forty eight hours in block B. Total crisis situation. Please update on the status of this complaint.,Water Supply
Public dustbins are completely broken and missing near the railway station area. Needs fix at teh central bus stop.,Garbage Collection
Please take strict action. No water since last 3 days in our village area. The tankers are charging too much money. The concerned department must check this today.,Water Supply
