complaint,department,severity
Our entire locality is suffering. No toilet facilities or drinking water available for visitors inside the massive regional park.,Parks & Gardens,Low
"Highly frustrated with the current state. The traffic signal at the main market intersection is completely dead, causing massive gridlock.",Traffic Signals,Medium
"Dear authorities, please fix this. The municipal workers refused to collect segregated waste from Sunrise Housing Society today. We pay our taxes regularly for this?",Garbage Collection,Medium
metro feeder buses are charging excess fares from passengers illegally during the festival season. this is happening near the hanuman temple.,Public Transport,Medium
"Dear authorities, please fix this. The power company workers left the high-voltage junction box completely unlocked and open to kids.",Electricity,Medium
"No working lights on the national highway stretch, leading to minor accidents during night time. It is worse over the weekend.",Street Lighting,High
Extremely disappointed with municipal services. All the swings and slides are broken and rusted in the municipal park near St. Mary's School. It's getting worse day by day.,Parks & Gardens,High
high voltage line has snapped and fallen onto the wet road near the central bus stop. emergency! this needs to be fixed before an accident happens.,Electricity,High
The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell. This needs to be fixed before an accident happens.,Electricity,High
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. needs fix near st. mary's school.,Traffic Signals,High
Muddy and slippery tracks in our village because the main road was never paved by the municipality.,Roads & Potholes,Medium
"The crossing light remains red for too long, causing frustrated drivers to break the rules constantly.",Traffic Signals,Medium
"Dear authorities, please fix this. Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. Please update on the status of this complaint.",Roads & Potholes,Medium
"The park benches are broken and covered in bird droppings, nobody can sit there.",Parks & Gardens,Medium
This is a recurring problem. Someone dumped electronic waste and old furniture right on the pavement near the market.,Garbage Collection,Medium
"Reminder for the authority: The traffic signal at the main market intersection is completely dead, causing massive gridlock. This is completely unacceptable.",Traffic Signals,Medium
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society.,Sewage & Drainage,High
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Please take immediate action.,Garbage Collection,High
"New LED lights installed are very dim, they do not illuminate the road properly at all.",Street Lighting,Low
"Complaining on behalf of all residents. Buses are running extremely late, I had to wait for more than an hour to go to the hospital.",Public Transport,High
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Please update on the status of this complaint.",Traffic Signals,Medium
Massive crater in the middle of the road near the central bus stop. Someone will get seriously hurt. This is happening outside the community hospital.,Roads & Potholes,High
"Every time it rains, the drains overflow and water enters our houses. We need a permanent solution. It has been happening for a long time.",Sewage & Drainage,High
"Please resolve this as soon as possible. Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Looking forward to a speedy resolution.",Garbage Collection,High
